address_key,Address,latitude,longitude,formatted_address,geocode_status
3095 kekaulike ave,3095 Kekaulike Ave,20.76821662987,-156.306374732548,"3095 Kekaulike Ave, Kula, Hawaii, 96790",success
15325 haleakala hwy,15325 Haleakala Hwy,20.775812520076,-156.306502053657,"15325 Haleakala Hwy, Kula, Hawaii, 96790",success
1575 kamehameiki rd,1575 Kamehameiki Rd,20.760047920402,-156.307906357715,"1575 Kamehameiki Rd, Kula, Hawaii, 96790",success
1530 kamehameiki rd,1530 Kamehameiki Rd,20.759935812447,-156.308467107037,"1530 Kamehameiki Rd, Kula, Hawaii, 96790",success
113 puanani pl,113 Puanani Pl,20.768146146462,-156.307488235774,"113 Puanani Pl, Kula, Hawaii, 96790",success
3001 kekaulike ave,3001 Kekaulike Ave,20.765865380301,-156.307261454085,"3001 Kekaulike Ave, Kula, Hawaii, 96790",success
2450 kekaulike ave,2450 Kekaulike Ave,20.758857690151,-156.30704629063,"2450 Kekaulike Ave, Kula, Hawaii, 96790",success
2520 kekaulike ave,2520 Kekaulike Ave,20.759233660418,-156.30661428734,"2520 Kekaulike Ave, Kula, Hawaii, 96790",success
2315 kekaulike ave,2315 Kekaulike Ave,20.757056963983,-156.307689936975,"2315 Kekaulike Ave, Kula, Hawaii, 96790",success
1590 kamehameiki rd,1590 Kamehameiki Rd,20.759597644564,-156.307876434321,"1590 Kamehameiki Rd, Kula, Hawaii, 96790",success
1520 kamehameiki rd,1520 Kamehameiki Rd,20.760241584275,-156.308900199974,"1520 Kamehameiki Rd, Kula, Hawaii, 96790",success
1462 kamehameiki rd,1462 Kamehameiki Rd,20.760069294255,-156.309920277591,"1462 Kamehameiki Rd, Kula, Hawaii, 96790",success
382 kulalani dr,382 Kulalani Dr,20.774052781413,-156.308254039059,"382 Kulalani Dr, Kula, Hawaii, 96790",success
371 kulalani dr,371 Kulalani Dr,20.775519404921,-156.307689266423,"371 Kulalani Dr, Kula, Hawaii, 96790",success
360 kulalani dr,360 Kulalani Dr,20.774014392297,-156.308259319658,"360 Kulalani Dr, Kula, Hawaii, 96790",success
270 kulalani dr,270 Kulalani Dr,20.774472128029,-156.310020525153,"270 Kulalani Dr, Kula, Hawaii, 96790",success
214 kulalani dr,214 Kulalani Dr,20.774994152959,-156.311043955531,"214 Kulalani Dr, Kula, Hawaii, 96790",success
226 kulalani dr,226 Kulalani Dr,20.77491180076,-156.310649167891,"226 Kulalani Dr, Kula, Hawaii, 96790",success
200 kulalani dr,200 Kulalani Dr,20.775152822386,-156.310456551756,"200 Kulalani Dr, Kula, Hawaii, 96790",success
196 kulalani dr,196 Kulalani Dr,20.775267570641,-156.311347631883,"196 Kulalani Dr, Kula, Hawaii, 96790",success
174 kulalani dr,174 Kulalani Dr,20.77545980959,-156.310671212296,"174 Kulalani Dr, Kula, Hawaii, 96790",success
168 kulalani dr,168 Kulalani Dr,20.77545980959,-156.310671212296,"168 Kulalani Dr, Kula, Hawaii, 96790",success
205 kulalani dr,205 Kulalani Dr,20.775114894274,-156.309878535713,"205 Kulalani Dr, Kula, Hawaii, 96790",success
104 malapua pl,104 Malapua Pl,20.781335272259,-156.319029143229,"104 Malapua Pl, Kula, Hawaii, 96790",success
14 homestead rd,14 Homestead Rd,20.750145959086,-156.310587728541,"14 Homestead Rd, Kula, Hawaii, 96790",success
6 nunu pl,6 Nunu Pl,20.779390461174,-156.316935679092,"6 Nunu Pl, Kula, Hawaii, 96790",success
25 kapalulu pl,25 Kapalulu Pl,20.780761111891,-156.317574799209,"25 Kapalulu Pl, Kula, Hawaii, 96790",success
1820 kekaulike ave,1820 Kekaulike Ave,20.752210505657,-156.310771376039,"1820 Kekaulike Ave, Kula, Hawaii, 96790",success
89 wahelani st,89 Wahelani St,20.747462492784,-156.309015115867,"89 Wahelani St, Kula, Hawaii, 96790",success
90 wahelani st,90 Wahelani St,20.746775009086,-156.308653352926,"90 Wahelani St, Kula, Hawaii, 96790",success
50 wahelani st,50 Wahelani St,20.745634986435,-156.311086535599,"50 Wahelani St, Kula, Hawaii, 96790",success
222 waiakoa rd,222 Waiakoa Rd,20.743485866461,-156.317058976887,"222 Waiakoa Rd, Kula, Hawaii, 96790",success
1100 kekaulike ave,1100 Kekaulike Ave,20.745988451292,-156.318736195713,"1100 Kekaulike Ave, Kula, Hawaii, 96790",success
800 kekaulike ave unit b,800 Kekaulike Ave Unit B,20.74323227198,-156.321341961772,"800 Kekaulike Ave, #B, Kula, Hawaii, 96790",success
367 kulalani dr,367 Kulalani Dr,20.77438114247,-156.308556374306,"367 Kulalani Dr, Kula, Hawaii, 96790",success
300 kulalani dr,300 Kulalani Dr,20.774438809964,-156.309794297586,"300 Kulalani Dr, Kula, Hawaii, 96790",success
1401 lower kimo dr,1401 Lower Kimo Dr,20.781300068265,-156.310342222597,"1401 Lower Kimo Dr, Kula, Hawaii, 96790",success
570 lower kimo dr,570 Lower Kimo Dr,20.783997867621,-156.318242585435,"570 Lower Kimo Dr, Kula, Hawaii, 96790",success
1109 lower kimo dr,1109 Lower Kimo Dr,20.781666449052,-156.312223384364,"1109 Lower Kimo Dr, Kula, Hawaii, 96790",success
704 lower kimo dr,704 Lower Kimo Dr,20.782856839142,-156.316847920565,"704 Lower Kimo Dr, Kula, Hawaii, 96790",success
15200 haleakala hwy,15200 Haleakala Hwy,20.778392511782,-156.308277592207,"15200 Haleakala Hwy, Kula, Hawaii, 96790",success
114 waimele,114 Waimele,20.790691194493,-156.323872877436,"114 Waimele Pl, Kula, Hawaii, 96790",success
15387 haleakala hwy,15387 Haleakala Hwy,20.775362328056,-156.306169795015,"15387 Haleakala Hwy, Kula, Hawaii, 96790",success
344 kulalani dr,344 Kulalani Dr,20.774100767809,-156.308986114482,"344 Kulalani Dr, Kula, Hawaii, 96790",success
346 kulalani dr,346 Kulalani Dr,20.773908570769,-156.308839766452,"346 Kulalani Dr, Kula, Hawaii, 96790",success
234 kulalani dr,234 Kulalani Dr,20.774516091111,-156.310301738004,"234 Kulalani Dr, Kula, Hawaii, 96790",success
15231 haleakala hwy,15231 Haleakala Hwy,20.777716385563,-156.305241163962,"15231 Haleakala Hwy, Kula, Hawaii, 96790",success
64 kaui pl,64 Kaui Pl,20.773214046272,-156.304042216532,"64 Kaui Pl, Kula, Hawaii, 96790",success
181 kulalani circle,181 Kulalani Circle,20.774647477444,-156.308411367381,"181 Kulalani Cir, Kula, Hawaii, 96790",success
105 anuenue pl,105 Anuenue Pl,20.776351727907,-156.311060803156,"105 Anuenue Pl, Kula, Hawaii, 96790",success
119 kulalani dr,119 Kulalani Dr,20.777175710898,-156.311282839771,"119 Kulalani Dr, Kula, Hawaii, 96790",success
425 ainakula rd,425 Ainakula Rd,20.777220344533,-156.308248842279,"425 Ainakula Rd, Kula, Hawaii, 96790",success
10 ululani st,10 Ululani St,20.749089629738,-156.306769520187,"10 Ululani St, Kula, Hawaii, 96790",success
54 kaui pl,54 Kaui Pl,20.773707405093,-156.304267773546,"54 Kaui Pl, Kula, Hawaii, 96790",success
2210 olinda rd,2210 Olinda Rd,20.811788319057,-156.285109425096,"2210 Olinda Rd, Makawao, Hawaii, 96768",success
12231 haleakala hwy,12231 Haleakala Hwy,20.814773952968,-156.302293332434,"12231 Haleakala Hwy, Makawao, Hawaii, 96768",success
4090 lower kula rd,4090 Lower Kula Rd,20.766356769375,-156.326075306314,"4090 Lower Kula Rd, Kula, Hawaii, 96790",success
205 malanani dr,205 Malanani Dr,20.77876579984,-156.31523473948,"205 Malanani Dr, Kula, Hawaii, 96790",success
15301 haleakala hwy,15301 Haleakala Hwy,20.77602944373,-156.307063808808,"15301 Haleakala Hwy, Kula, Hawaii, 96790",success
370 aulii dr,370 Aulii Dr,20.818227045619,-156.320895290152,"370 Aulii Dr, Makawao, Hawaii, 96768",success
7755 kula highway,7755 Kula Highway,20.720907911063,-156.343066932793,"7755 Kula Hwy, Kula, Hawaii, 96790",success
1141 lower kimo,1141 Lower Kimo,20.782701732024,-156.311491968255,"1141 Lower Kimo Dr, Kula, Hawaii, 96790",success
291 ainakula rd,291 Ainakula Rd,20.778213935335,-156.310100823785,"291 Ainakula Rd, Kula, Hawaii, 96790",success
570 lower kimo,570 Lower Kimo,20.783997867621,-156.318242585435,"570 Lower Kimo Dr, Kula, Hawaii, 96790",success
75 kawehi pl,75 Kawehi Pl,20.733591951771,-156.326489372331,"75 Kawehi Pl, Kula, Hawaii, 96790",success
500 papipi rd,500 Papipi Rd,20.76429943124,-156.347078595472,"500 Papipi Rd, Kula, Hawaii, 96790",success
650 papipi rd,650 Papipi Rd,20.763066872378,-156.344442486923,"650 Papipi Rd, Kula, Hawaii, 96790",success
371 ainakula rd.,371 Ainakula Rd.,20.777622801614,-156.30899751387,"371 Ainakula Rd, Kula, Hawaii, 96790",success
317 ainakula rd,317 Ainakula Rd,20.778083890107,-156.30918535232,"317 Ainakula Rd, Kula, Hawaii, 96790",success
446 cooke rd,446 Cooke Rd,20.759027423691,-156.30252224221,"446 Cooke Rd, Kula, Hawaii, 96790",success
14 nunu pl,14 Nunu Pl,20.779090263312,-156.316867115124,"14 Nunu Pl, Kula, Hawaii, 96790",success
52 kulalani circle,52 Kulalani Circle,20.775583065476,-156.309513084735,"52 Kulalani Cir, Kula, Hawaii, 96790",success
106 ioio pl,106 Ioio Pl,20.753843929038,-156.30922432817,"106 Ioio Pl, Kula, Hawaii, 96790",success
52 kapalulu,52 Kapalulu,20.781079288936,-156.318148121386,"52 Kapalulu Pl, Kula, Hawaii, 96790",success
91 waiakoa rd,91 Waiakoa Rd,20.745919216772,-156.317656271308,"91 Waiakoa Rd, Kula, Hawaii, 96790",success
21 kuulani,21 Kuulani,20.740077407444,-156.312009466957,"21 Kuulani Pl, Kula, Hawaii, 96790",success
8992 kula hwy,8992 Kula Hwy,20.707751466291,-156.354851134287,"8992 Kula Hwy, Kula, Hawaii, 96790",success
15287 haleakala hwy,15287 Haleakala Hwy,20.776223861974,-156.306108942398,"15287 Haleakala Hwy, Kula, Hawaii, 96790",success
64 kulamanu circile,64 Kulamanu Circile ,20.781848831466,-156.317845031767,"64 Kulamanu Cir, Kula, Hawaii, 96790",success
344 lower kimo dr.,344 Lower Kimo Dr. ,20.784254982501,-156.321036860496,"344 Lower Kimo Dr, Kula, Hawaii, 96790",success
600 alae rd,600 Alae Rd,20.738460328774,-156.316054489611,"600 Alae Rd, Kula, Hawaii, 96790",success
636 kamehameiki rd,636 Kamehameiki Rd,20.766612333603,-156.318144181891,"636 Kamehameiki Rd, Kula, Hawaii, 96790",success
15245 haleakala hwy,15245 Haleakala Hwy,20.776877440874,-156.306587549069,"15245 Haleakala Hwy, Kula, Hawaii, 96790",success
13160 kula hwy,13160 Kula Hwy,20.668803276806,-156.39829411935,"13160 Kula Hwy, Kula, Hawaii, 96790",success
41 palena pl,41 Palena Pl,20.770648890534,-156.30585513837,"41 Palena Pl, Kula, Hawaii, 96790",success
17 omaopio rd,17 Omaopio Rd,20.796817988528,-156.326374037343,"17 Omaopio Rd, Kula, Hawaii, 96790",success
638 kekaulike ave,638 Kekaulike Ave,20.74212590267,-156.325445657748,"638 Kekaulike Ave, Kula, Hawaii, 96790",success
766 kekaulike ave,766 Kekaulike Ave,20.741737485277,-156.321627449394,"766 Kekaulike Ave, Kula, Hawaii, 96790",success
1267 naalae rd,1267 Naalae Rd,20.757491942848,-156.345848467362,"1267 Naalae Rd, Kula, Hawaii, 96790",success
510 lower kimo dr,510 Lower Kimo Dr,20.783461174361,-156.319545049369,"510 Lower Kimo Dr, Kula, Hawaii, 96790",success
481 pulehuiki rd,481 Pulehuiki Rd,20.772031946467,-156.317522244676,"481 Pulehuiki Rd, Kula, Hawaii, 96790",success
113 waimele pl,113 Waimele Pl,20.790799865867,-156.323366359027,"113 Waimele Pl, Kula, Hawaii, 96790",success
319 kepa rd,319 Kepa Rd,20.748321470222,-156.320678198859,"319 Kepa Rd, Kula, Hawaii, 96790",success
373 naalae rd,373 Naalae Rd,20.752825695441,-156.33467187003,"373 Naalae Rd, Kula, Hawaii, 96790",success
1119 naalae rd,1119 Naalae Rd,20.75652131846,-156.343299027692,"1119 Naalae Rd, Kula, Hawaii, 96790",success
454 waiakoa rd,454 Waiakoa Rd,20.741138640205,-156.314695196373,"454 Waiakoa Rd, Kula, Hawaii, 96790",success
890 waipoli rd,890 Waipoli Rd,20.733229937373,-156.322383664699,"890 Waipoli Rd, Kula, Hawaii, 96790",success
121 lower kimo dr,121 Lower Kimo Dr,20.7877342686,-156.322753390448,"121 Lower Kimo Dr, Kula, Hawaii, 96790",success
51 calasa rd,51 Calasa Rd,20.756730572673,-156.329433264364,"51 Calasa Rd, Kula, Hawaii, 96790",success
18 poohina rd,18 Poohina Rd,20.802115092458,-156.324012667626,"18 Poohina Rd, Kula, Hawaii, 96790",success
220 kekaulkike hwy,220 Kekaulkike Hwy,20.739576001996,-156.329754961808,"220 Kekaulike Ave, Kula, Hawaii, 96790",success
9 palena pl,9 Palena Pl,20.769524542042,-156.305534195297,"9 Palena Pl, Kula, Hawaii, 96790",success
201 naele rd,201 Naele Rd,20.789468610096,-156.328748462875,"201 Naele Rd, Kula, Hawaii, 96790",success
54 keanuhea st,54 Keanuhea St,20.726250787604,-156.350659763604,"54 Keanuhea St, Kula, Hawaii, 96790",success
427 lauie dr,427 Lauie Dr,20.72688047808,-156.351405836805,"427 Lauie Dr, Kula, Hawaii, 96790",success
420 lauie dr,420 Lauie Dr,20.727427732538,-156.351332327515,"420 Lauie Dr, Kula, Hawaii, 96790",success
1375 lower kimo dr,1375 Lower Kimo Dr,20.781039391077,-156.310460072155,"1375 Lower Kimo Dr, Kula, Hawaii, 96790",success
15277 haleakala hwy,15277 Haleakala Hwy,20.776474438969,-156.30651219576,"15277 Haleakala Hwy, Kula, Hawaii, 96790",success
248 ihe pl,248 Ihe Pl,20.755334357151,-156.31122575901,"248 Ihe Pl, Kula, Hawaii, 96790",success
4243 lower kula rd,4243 Lower Kula Rd,20.764620332403,-156.325370639714,"4243 Lower Kula Rd, Kula, Hawaii, 96790",success
5355 lower kula rd,5355 Lower Kula Rd,20.748695345013,-156.328879639659,"5355 Lower Kula Rd, Kula, Hawaii, 96790",success
2277 kekaulike ave,2277 Kekaulike Ave,20.756048579121,-156.307895209784,"2277 Kekaulike Ave, Kula, Hawaii, 96790",success
104 ioio pl,104 Ioio Pl,20.7551015917,-156.309096587966,"104 Ioio Pl, Kula, Hawaii, 96790",success
4160 lower kula rd,4160 Lower Kula Rd,20.765484799987,-156.32621067405,"4160 Lower Kula Rd, Kula, Hawaii, 96790",success
620 polipoli rd,620 Polipoli Rd,20.721687972882,-156.340702062631,"620 Polipoli Rd, Kula, Hawaii, 96790",success
399 omaopio rd,399 Omaopio Rd,20.797930937632,-156.331923695436,"399 Omaopio Rd, Kula, Hawaii, 96790",success
71 kai nana pl,71 Kai Nana Pl,20.761558255535,-156.328494155932,"71 Kai Nana Pl, Kula, Hawaii, 96790",success
63 kai nana pl,63 Kai Nana Pl,20.761368573066,-156.328488372419,"63 Kai Nana Pl, Kula, Hawaii, 96790",success
515 alae rd,515 Alae Rd,20.740553164268,-156.315856257601,"515 Alae Rd, Kula, Hawaii, 96790",success
259 alae rd,259 Alae Rd,20.742879016671,-156.318863349184,"259 Alae Rd, Kula, Hawaii, 96790",success
90 alae rd,90 Alae Rd,20.74462429655,-156.321452602894,"90 Alae Rd, Kula, Hawaii, 96790",success
990 kekaulike ave,990 Kekaulike Ave,20.74507101008,-156.32130399175,"990 Kekaulike Ave, Kula, Hawaii, 96790",success
40 puakea pl,40 Puakea Pl,20.757414494063,-156.326370349306,"40 Puakea Pl, Kula, Hawaii, 96790",success
57 wahelani st,57 Wahelani St,20.746242590596,-156.310007868479,"57 Wahelani St, Kula, Hawaii, 96790",success
140 naalae,140 Naalae,20.750742362785,-156.331876474119,"140 Naalae Rd, Kula, Hawaii, 96790",success
1461 naalae rd,1461 Naalae Rd,20.759784896281,-156.34770036505,"1461 Naalae Rd, Kula, Hawaii, 96790",success
137 maukanani pl,137 Maukanani Pl,20.716126412487,-156.345315629777,"137 Maukanani Rd, Kula, Hawaii, 96790",success
1000 waipoli rd,1000 Waipoli Rd,20.73391499032,-156.320257092044,"1000 Waipoli Rd, Kula, Hawaii, 96790",success
4660 lower kula rd,4660 Lower Kula Rd,20.758401002157,-156.327908428539,"4660 Lower Kula Rd, Kula, Hawaii, 96790",success
1886 naalae rd,1886 Naalae Rd,20.764175965807,-156.351385217324,"1886 Naalae Rd, Kula, Hawaii, 96790",success
892 pulehuiki rd,892 Pulehuiki Rd,20.768289468609,-156.315471695883,"892 Pulehuiki Rd, Kula, Hawaii, 96790",success
658 piliwale rd,658 Piliwale Rd,20.803679372558,-156.347461480809,"658 Piliwale Rd, Kula, Hawaii, 96790",success
404 pulehuiki rd,404 Pulehuiki Rd,20.771793187955,-156.320097081512,"404 Pulehuiki Rd, Kula, Hawaii, 96790",success
217 copp rd,217 Copp Rd,20.755591681579,-156.325755788165,"217 Copp Rd, Kula, Hawaii, 96790",success
849 pueo dr,849 Pueo Dr,20.735783903271,-156.360219994728,"849 Pueo Dr, Kula, Hawaii, 96790",success
29 kolonahe pl,29 Kolonahe Pl,20.77897182702,-156.336574981146,"29 Kolonahe Pl, Kula, Hawaii, 96790",success
320 lower kimo dr,320 Lower Kimo Dr,20.784950512827,-156.322023913414,"320 Lower Kimo Dr, Kula, Hawaii, 96790",success
130 keanuhea st,130 Keanuhea St,20.726110767911,-156.352468662128,"130 Keanuhea St, Kula, Hawaii, 96790",success
785 kekaulike ave,785 Kekaulike Ave,20.744303311568,-156.32361622356,"785 Kekaulike Ave, Kula, Hawaii, 96790",success
4865 lower kula rd,4865 Lower Kula Rd,20.755304349938,-156.327173503268,"4865 Lower Kula Rd, Kula, Hawaii, 96790",success
190 malamahale pl,190 Malamahale Pl,20.719140083864,-156.342479696657,"190 Malamahale Pl, Kula, Hawaii, 96790",success
65 mauds pl,65 Mauds Pl,20.733968802138,-156.333039913482,"65 Mauds Pl, Kula, Hawaii, 96790",success
11 wahelani st,11 Wahelani St,20.749110660508,-156.311833869701,"11 Wahelani St, Kula, Hawaii, 96790",success
3020 lower kula rd,3020 Lower Kula Rd,20.778083010008,-156.326387029293,"3020 Lower Kula Rd, Kula, Hawaii, 96790",success
1330 kula hwy,1330 Kula Hwy,20.818348790884,-156.327524176959,"1330 Kula Hwy, Makawao, Hawaii, 96768",success
114 alae rd,114 Alae Rd,20.743615995508,-156.320681970716,"114 Alae Rd, Kula, Hawaii, 96790",success
5231 lower kula rd,5231 Lower Kula Rd,20.750695811934,-156.326980551857,"5231 Lower Kula Rd, Kula, Hawaii, 96790",success
106 wahelani st,106 Wahelani St,20.747339697903,-156.307460189009,"106 Wahelani St, Kula, Hawaii, 96790",success
2003 lower kula rd,2003 Lower Kula Rd,20.792924259227,-156.324941318633,"2003 Lower Kula Rd, Kula, Hawaii, 96790",success
1367 lower kimo dr,1367 Lower Kimo Dr,20.780585678658,-156.31089685313,"1367 Lower Kimo Dr, Kula, Hawaii, 96790",success
4020 kula hwy,4020 Kula Hwy,20.771503509382,-156.326840657893,"4020 Kula Hwy, Kula, Hawaii, 96790",success
221 calasa rd,221 Calasa Rd,20.758372713234,-156.331171335807,"221 Calasa Rd, Kula, Hawaii, 96790",success
11 meakoho pl,11 Meakoho Pl,20.775685827609,-156.30269281394,"11 Meakoho Pl, Kula, Hawaii, 96790",success
10 meakoho pl,10 Meakoho Pl,20.776027264435,-156.302939912445,"10 Meakoho Pl, Kula, Hawaii, 96790",success
475 papipi rd,475 Papipi Rd,20.765305008164,-156.346995363174,"475 Papipi Rd, Kula, Hawaii, 96790",success
45 mauds pl,45 Mauds Pl,20.734829749323,-156.332319572723,"45 Mauds Pl, Kula, Hawaii, 96790",success
1355 naalae rd,1355 Naalae Rd,20.759573965687,-156.346558917475,"1355 Naalae Rd, Kula, Hawaii, 96790",success
694 polipoli rd,694 Polipoli Rd,20.720382742919,-156.340121532017,"694 Polipoli Rd, Kula, Hawaii, 96790",success
18 wahelani rd,18 Wahelani Rd,20.748868892318,-156.311876949068,"18 Wahelani St, Kula, Hawaii, 96790",success
1365 naalae rd,1365 Naalae Rd,20.75867517421,-156.346138397393,"1365 Naalae Rd, Kula, Hawaii, 96790",success
1445 naalae rd,1445 Naalae Rd,20.75965074392,-156.347239863289,"1445 Naalae Rd, Kula, Hawaii, 96790",success
622 naele rd,622 Naele Rd,20.79430995546,-156.334696680463,"622 Naele Rd, Kula, Hawaii, 96790",success
750 holopuni rd,750 Holopuni Rd,20.781846400714,-156.333327077484,"750 Holopuni Rd, Kula, Hawaii, 96790",success
393 kolohala dr,393 Kolohala Dr,20.754804830418,-156.315768079979,"393 Kolohala Dr, Kula, Hawaii, 96790",success
490 pulehuiki rd,490 Pulehuiki Rd,20.770440851697,-156.31920734249,"490 Pulehuiki Rd, Kula, Hawaii, 96790",success
17003 haleakala hwy,17003 Haleakala Hwy,20.767974979602,-156.300094172498,"17003 Haleakala Hwy, Kula, Hawaii, 96790",success
482 waiakoa rd,482 Waiakoa Rd,20.741561800587,-156.312206860777,"482 Waiakoa Rd, Kula, Hawaii, 96790",success
18100 piilani hwy,18100 Piilani Hwy,20.616201092776,-156.368066378109,"18100 Piilani Hwy, Kula, Hawaii, 96790",success
765 kekaulike ave,765 Kekaulike Ave,20.745293256242,-156.325115829858,"765 Kekaulike Ave, Kula, Hawaii, 96790",success
74 wahelani st,74 Wahelani St,20.745616127153,-156.308979073683,"74 Wahelani St, Kula, Hawaii, 96790",success
7721 kula hwy,7721 Kula Hwy,20.721591329538,-156.341945601786,"7721 Kula Hwy, Kula, Hawaii, 96790",success
4140 lower kula rd,4140 Lower Kula Rd,20.765533582664,-156.326178738999,"4140 Lower Kula Rd, Kula, Hawaii, 96790",success
1690 kekaulike ave,1690 Kekaulike Ave,20.74969631189,-156.311201870586,"1690 Kekaulike Ave, Kula, Hawaii, 96790",success
500 pulehuiki rd,500 Pulehuiki Rd,20.770190945254,-156.318285919874,"500 Pulehuiki Rd, Kula, Hawaii, 96790",success
1002 keanuhea st,1002 Keanuhea St,20.708482996891,-156.362386968156,"1002 Keanuhea St, Kula, Hawaii, 96790",success
16940 haleakala hwy,16940 Haleakala Hwy,20.767227523386,-156.299440048774,"16940 Haleakala Hwy, Kula, Hawaii, 96790",success
255 lower kimo dr,255 Lower Kimo Dr,20.786153944575,-156.321890557335,"255 Lower Kimo Dr, Kula, Hawaii, 96790",success
300 kolohala dr,300 Kolohala Dr,20.754727968366,-156.314684048442,"300 Kolohala Dr, Kula, Hawaii, 96790",success
552 lauie dr,552 Lauie Dr,20.72921865188,-156.352971408681,"552 Lauie Dr, Kula, Hawaii, 96790",success
247 kamehameiki rd,247 Kamehameiki Rd,20.771488338137,-156.323472641559,"247 Kamehameiki Rd, Kula, Hawaii, 96790",success
29 holomakani dr,29 Holomakani Dr,20.753890071415,-156.322923962177,"29 Holomakani Dr, Kula, Hawaii, 96790",success
500 kolohala dr,500 Kolohala Dr,20.756069240512,-156.316981192826,"500 Kolohala Dr, Kula, Hawaii, 96790",success
518 kolohala dr,518 Kolohala Dr,20.756247691231,-156.317238936348,"518 Kolohala Dr, Kula, Hawaii, 96790",success
506 kolohala dr,506 Kolohala Dr,20.756213032061,-156.317206079288,"506 Kolohala Dr, Kula, Hawaii, 96790",success
1000 middle rd,1000 Middle Rd,20.711650811467,-156.342288421626,"1000 Middle Rd, Kula, Hawaii, 96790",success
17085 haleakala hwy,17085 Haleakala Hwy,20.768935922891,-156.299193872278,"17085 Haleakala Hwy, Kula, Hawaii, 96790",success
